date,additions,deletions
1387670400,1240,-118
1388275200,1906,-756
1388880000,2116,-2740
1389484800,1290,-987
1390089600,1213,-1955
1390694400,963,-315
1391299200,807,-729
1391904000,5094,-471
1392508800,1834,-766
1393113600,2789,-1270
1393718400,1642,-1244
1394323200,144,-39
1394928000,3642,-2986
1395532800,483,-278
1396137600,208,-119
1396742400,3466,-1000
1397347200,1051,-722
1397952000,1236,-454
1398556800,11125,-2061
1399161600,1648,-1256
1399766400,1925,-1605
1400371200,1820,-1182
1400976000,5854,-4751
1401580800,313,-36
1402185600,1326,-580
1402790400,1116,-866
1403395200,2559,-1688
1404000000,6329,-18746
1404604800,869,-1561
1405209600,1628,-1141
1405814400,2908,-2286
1406419200,365,-341
1407024000,854,-273
1407628800,5490,-4716
1408233600,2595,-1403
1408838400,268,-92
1409443200,36,0
1410048000,338,-266
1410652800,38768,-32911
1411257600,10955,-1885
1411862400,17124,-14849
1412467200,2223,-1513
1413072000,36166,-18114
1413676800,6642,-2295
1414281600,14378,-13203
1414886400,38368,-35893
1415491200,18429,-9521
1416096000,17391,-10823
1416700800,332,-264
1417305600,19609,-5871
1417910400,34432,-15493
1418515200,5521,-4760
1419120000,14152,-4708
1419724800,21948,-1628
1420329600,28125,-34834
1420934400,4342482,-3094
1421539200,13746,-4219
1422144000,23071,-19659
1422748800,22302,-14029
1423353600,4755,-4296
1423958400,457264,-19396
1424563200,39322,-6204
1425168000,78979,-4471204
1425772800,2585011,-23427
1426377600,95620,-56033
1426982400,22774,-21486
1427587200,11428,-3087
1428192000,32737,-1172851
1428796800,13567,-3050
1429401600,11563,-13339
1430006400,13006,-11946
1430611200,20208,-8234
1431216000,2033939,-1419256
1431820800,12876,-1193
1432425600,12966,-11160
1433030400,9795,-7868
1433635200,46165,-10623
1434240000,11955,-40455
1434844800,17945,-333448
1435449600,42003,-38720
1436054400,10216,-6944
1436659200,2084,-219
1437264000,2299,-3028
1437868800,8553,-8327
1438473600,2099,-991
1439078400,7071,-3754
1439683200,1307,-2601
1440288000,692,-228
1440892800,6172,-5605
1441497600,3560,-1991
1442102400,13842,-740
1442707200,8108,-601
1443312000,17960,-13179
1443916800,3656,-1058
1444521600,6523,-722
1445126400,24386,-6950
1445731200,11925,-5015
1446336000,1427,-73
1446940800,234,-238
1447545600,2691,-1484
1448150400,31897,-11233
1448755200,1752,-161
1449360000,1417,-1377
1449964800,10678,-19483
1450569600,728,-176
1451174400,994,-120
1451779200,279,-66
1452384000,344,-127
1452988800,195136,-24023
1453593600,1008,-296
1454198400,1425,-1026
1454803200,166590,-68522
1455408000,1670,-383
1456012800,3071,-4882
1456617600,3183,-2445
1457222400,492,-2316
1457827200,22364,-1362
1458432000,817,-637
1459036800,2779,-1097
1459641600,3315,-1466
1460246400,1130,-796
1460851200,469,-183
1461456000,1681,-1207
1462060800,18488,-18396
1462665600,800,-306
1463270400,682,-251
1463875200,1092,-237
1464480000,503,-228
1465084800,3496,-2675
1465689600,462,-372
1466294400,544,-113
1466899200,1274,-1301
1467504000,908,-287
1468108800,14009,-4147
1468713600,1356,-1562
1469318400,1581,-1453
1469923200,1006,-196
1470528000,554,-169
1471132800,1050,-725
1471737600,2754,-735
1472342400,33864,-54416
1472947200,2959,-170
1473552000,1039,-208
1474156800,750,-368
1474761600,1466,-908
1475366400,266596,-66145
1475971200,8923,-314
1476576000,10334,-1372
1477180800,410674,-415652
1477785600,99470,-3962
1478390400,65594,-67147
1478995200,1382,-431
1479600000,3480,-1911
1480204800,2773,-2221
1480809600,2282,-2198
1481414400,1541,-1304
1482019200,508,-139
1482624000,0,0
1483228800,4614,-6316
1483833600,39078,-19387
1484438400,32998,-123
1485043200,4414,-3073
1485648000,5209,-1516
1486252800,5020,-3800
1486857600,45824,-40439
1487462400,6281,-5647
1488067200,4629,-4706
1488672000,6107,-3065
1489276800,74,-108
1489881600,8931,-1575
1490486400,393,-429
1491091200,17339,-9166
1491696000,34122,-2879
1492300800,484,-301
1492905600,623,-385
1493510400,1903,-615
1494115200,986,-511
1494720000,764,-211
1495324800,776,-315
1495929600,1420,-442
1496534400,366,-89
1497139200,1377,-718
1497744000,4118,-2682
1498348800,3248,-3395
1498953600,490,-424
1499558400,2113,-2506121
1500163200,219,-84
1500768000,488,-88
1501372800,17862,-458
1501977600,3047,-3885
1502582400,4143,-1542
1503187200,382,-407
1503792000,1754,-1281
1504396800,2744,-946
1505001600,357,-282
1505606400,1063,-272
1506211200,6881,-151
1506816000,1530,-3343
1507420800,713,-359
1508025600,2618,-1270
1508630400,3420,-1065
1509235200,5616,-84
1509840000,5591,-314
1510444800,53848,-28683
1511049600,666,-375
1511654400,883,-296
1512259200,726,-462
1512864000,1788,-447
1513468800,161358,-2083
1514073600,1524,-225
1514678400,4180,-1806
1515283200,8348,-2147
1515888000,1783,-5585
1516492800,14524,-4306
1517097600,343,-297
1517702400,2203,-1310
1518307200,1819,-810
1518912000,12714,-7297
1519516800,914,-572
1520121600,15179,-13043
1520726400,201,-98
1521331200,1208,-543
1521936000,523,-785
1522540800,279,-245
1523145600,204,-283
1523750400,7217,-569
1524355200,915,-103
1524960000,826,-602
1525564800,2827,-2555
1526169600,583,-304
1526774400,432,-151
1527379200,174,-230
1527984000,30611,-862
1528588800,1347,-876
1529193600,39825,-9997
1529798400,221,-124
1530403200,502,-311
1531008000,35625,-9375
1531612800,8594,-3169
1532217600,15744,-8629
1532822400,2540,-3121
1533427200,3347,-1910
1534032000,4424,-1393
1534636800,1590,-571
1535241600,1168,-749
1535846400,1088,-626
1536451200,3984,-2690
1537056000,1044,-618
1537660800,10570,-9229
1538265600,12088,-19775
1538870400,3250,-1844
1539475200,1490,-404
1540080000,1114,-217
1540684800,80,-18
1541289600,1263,-1061
1541894400,3411,-888
1542499200,1447,-823
1543104000,5042,-6961
1543708800,537,-262
1544313600,934,-310
1544918400,2609,-1088
1545523200,149,-449
1546128000,6216,-2345
1546732800,2768,-1496
1547337600,1166,-906
1547942400,14209,-6217
1548547200,1980,-1063
1549152000,10738,-3338
1549756800,85384,-15081
1550361600,4117,-1143
1550966400,5148,-7522
1551571200,1646,-1379
1552176000,53058,-46190
1552780800,20882,-18327
1553385600,2020,-480
1553990400,14663,-57233
1554595200,39393,-8023
1555200000,1010,-675
1555804800,1771,-644
1556409600,3472,-2379
1557014400,1752,-723
1557619200,7812,-1478
1558224000,132,-214
1558828800,56788,-49358
1559433600,3641,-113501
1560038400,8683,-6136
1560643200,1424,-748
1561248000,4104,-721
1561852800,1638,-1733
1562457600,1886,-1115
1563062400,15177,-10076
1563667200,55550,-14558
1564272000,1910,-657
1564876800,2423,-692
1565481600,518,-390
1566086400,300188,-3590
1566691200,91,-56
1567296000,139,-122
1567900800,674,-458
1568505600,554,-190
1569110400,12377,-573
1569715200,1247,-229
1570320000,0,0
1570924800,1004,-342
1571529600,820,-637
1572134400,6060,-2713
1572739200,1593,-575
1573344000,23546,-77845
1573948800,2233,-816220
1574553600,2499,-1336
1575158400,1422,-895
1575763200,2142,-967
1576368000,1157,-96
1576972800,20,-9
1577577600,2,-1
1578182400,645,-249
1578787200,887,-265
1579392000,3047,-1064
1579996800,644,-531
1580601600,1507,-287
1581206400,1758,-1225
1581811200,306,-292
1582416000,1322,-1313
1583020800,1485,-506
1583625600,504,-150
1584230400,1872,-770131
1584835200,365,-212
1585440000,1360,-974
1586044800,6667,-1028
1586649600,836,-343
1587254400,1567,-637
1587859200,2879,-1783
1588464000,1097,-556
1589068800,2752,-1289
1589673600,4669,-2129
1590278400,603,-366
1590883200,17827,-1870
1591488000,351054,-72872
1592092800,182,-96
1592697600,222,-32
1593302400,2507,-372
1593907200,1465,-526
1594512000,28099,-5284
1595116800,376738,-75771
1595721600,1724,-1336
1596326400,3135,-3022
1596931200,151,-133
1597536000,4716,-678
1598140800,1035,-237
1598745600,69,-31
1599350400,1705,-8176
1599955200,4016,-1990
1600560000,2817,-1733
1601164800,1799,-363
1601769600,955,-242
1602374400,3958,-1654
1602979200,1812,-545
1603584000,2216,-326
1604188800,620,-165
1604793600,41377,-32571
1605398400,1254,-2471
1606003200,2386,-538
1606608000,2192,-442
1607212800,5234,-1480
1607817600,16576,-6823
1608422400,592,-488
1609027200,276,-268
1609632000,2760,-1275
1610236800,1002,-344
1610841600,2788,-1234
1611446400,8405,-14877
1612051200,3052,-2234
1612656000,3306,-374
1613260800,14949,-12049
1613865600,11574,-5714
1614470400,2286,-1484
1615075200,66,-24
1615680000,736,-523
1616284800,1913,-905
1616889600,329,-126
1617494400,3570,-2653
1618099200,2777,-463
1618704000,1926,-729
1619308800,2065,-1205
1619913600,961,-512
1620518400,432,-419
1621123200,3328,-1285
1621728000,3577,-2597
1622332800,1073,-445
1622937600,717,-442
1623542400,1645,-368
1624147200,269,-137
1624752000,1588,-828
1625356800,279,-452
1625961600,176,-161
1626566400,411,-34
1627171200,470,-327
1627776000,507,-83
1628380800,688,-301
1628985600,1023,-600
1629590400,1569,-1268
1630195200,710,-96
1630800000,10520,-808
1631404800,3949,-1454
1632009600,857,-131
1632614400,932,-291
1633219200,1502,-338
1633824000,2097,-844
1634428800,3751,-1051
1635033600,520,-24
1635638400,15,-6
1636243200,744,-270
1636848000,144,-37
1637452800,38,-12
1638057600,1529,-491
1638662400,1051,-115
1639267200,1086,-203
1639872000,161,-78
1640476800,10,-2
1641081600,215,-25
1641686400,21095,-14006
1642291200,6919,-6538
1642896000,365,-249
1643500800,598,-589
1644105600,1,-1
1644710400,96,-32
1645315200,95,-89
1645920000,0,0
1646524800,0,0
1647129600,124,-4
1647734400,754,-696
1648339200,1,-1
1648944000,14803,-3092
1649548800,40,-41
1650153600,746,-192
1650758400,55,-24
1651363200,34926,-16241
1651968000,627,-188
1652572800,776,-290
1653177600,372,-79
1653782400,37360,-37161
1654387200,9861,-7577
1654992000,1066,-89
1655596800,59,-13
1656201600,57,-59
1656806400,355,-219