total,week,days,owner,repo
4,1626566400,0;0;0;0;4;0;0,maticnetwork,bor
18,1627171200,0;0;4;3;11;0;0,maticnetwork,bor
9,1627776000,0;1;5;1;0;0;2,maticnetwork,bor
27,1628380800,1;1;12;5;6;2;0,maticnetwork,bor
8,1628985600,0;0;4;2;1;1;0,maticnetwork,bor
39,1629590400,0;5;17;15;1;1;0,maticnetwork,bor
14,1630195200,0;2;5;4;3;0;0,maticnetwork,bor
10,1630800000,0;0;8;1;0;1;0,maticnetwork,bor
7,1631404800,0;3;0;1;1;2;0,maticnetwork,bor
21,1632009600,1;12;5;2;1;0;0,maticnetwork,bor
16,1632614400,0;3;6;4;1;2;0,maticnetwork,bor
22,1633219200,1;6;3;1;3;6;2,maticnetwork,bor
26,1633824000,4;7;4;7;2;2;0,maticnetwork,bor
10,1634428800,1;5;1;2;0;1;0,maticnetwork,bor
6,1635033600,0;2;3;0;0;1;0,maticnetwork,bor
1,1635638400,0;0;0;0;0;1;0,maticnetwork,bor
13,1636243200,0;0;2;4;2;5;0,maticnetwork,bor
3,1636848000,0;0;0;3;0;0;0,maticnetwork,bor
5,1637452800,0;4;0;0;1;0;0,maticnetwork,bor
14,1638057600,0;0;3;5;1;1;4,maticnetwork,bor
7,1638662400,1;2;1;0;0;2;1,maticnetwork,bor
7,1639267200,0;2;1;4;0;0;0,maticnetwork,bor
5,1639872000,0;0;0;5;0;0;0,maticnetwork,bor
1,1640476800,0;1;0;0;0;0;0,maticnetwork,bor
5,1641081600,0;1;1;2;0;1;0,maticnetwork,bor
13,1641686400,0;4;5;1;2;1;0,maticnetwork,bor
17,1642291200,0;0;0;2;4;11;0,maticnetwork,bor
8,1642896000,0;5;3;0;0;0;0,maticnetwork,bor
12,1643500800,0;1;0;7;3;1;0,maticnetwork,bor
1,1644105600,0;0;0;0;0;1;0,maticnetwork,bor
6,1644710400,0;0;1;5;0;0;0,maticnetwork,bor
2,1645315200,0;0;0;0;2;0;0,maticnetwork,bor
0,1645920000,0;0;0;0;0;0;0,maticnetwork,bor
0,1646524800,0;0;0;0;0;0;0,maticnetwork,bor
4,1647129600,0;0;0;2;2;0;0,maticnetwork,bor
2,1647734400,0;0;1;1;0;0;0,maticnetwork,bor
1,1648339200,0;0;0;1;0;0;0,maticnetwork,bor
1,1648944000,0;1;0;0;0;0;0,maticnetwork,bor
3,1649548800,0;3;0;0;0;0;0,maticnetwork,bor
8,1650153600,0;0;1;4;0;3;0,maticnetwork,bor
2,1650758400,0;0;2;0;0;0;0,maticnetwork,bor
6,1651363200,0;1;1;0;2;2;0,maticnetwork,bor
34,1651968000,0;0;0;20;5;9;0,maticnetwork,bor
16,1652572800,0;4;5;1;5;1;0,maticnetwork,bor
11,1653177600,0;2;6;0;2;1;0,maticnetwork,bor
11,1653782400,0;1;1;0;2;7;0,maticnetwork,bor
3,1654387200,0;1;0;2;0;0;0,maticnetwork,bor
4,1654992000,0;1;0;2;1;0;0,maticnetwork,bor
8,1655596800,0;0;3;1;0;3;1,maticnetwork,bor
5,1656201600,0;0;4;0;1;0;0,maticnetwork,bor
1,1656806400,0;0;1;0;0;0;0,maticnetwork,bor
0,1657411200,0;0;0;0;0;0;0,maticnetwork,bor